text,sentiment
"Thanks for the PR, -orange! This is now merged into  with ab9a310485b43e7a5cd08e0ffba3cb641cb43991 and 69336fb3ec40e1c62ad1700e15fa0d6e03cb57d4. Also, I polished it the new section with 8b7751f5f400d1663b3a8f60885b1837983906ea to update some of the indentation and standardize the explanations to fit the typical writing style of the reference manual.",1
Sweet!,1
"I was having this error for revision 1069273, then bumped to puppeteer 19.6.2, deployed to Google Cloud Function, and the error went away. Then a little later I did another deployment for an unrelated reason, and the error came back again on a new revision 1083080. So it doesn't seem that 19.6.2 fixes the issue.",-1
I've updated as suggested.,0
And in the worst case - we can always revert it :-) Thanks,1
"Thanks again, !",1
"As discussed here, and in continuation of this PR on pydantic-core. We add two new types, implementing constraining datetime values to either enforce or disallow timezone info. The implementation is simple and utilizes the 'aware' and 'naive' constraints from the underlying pydantic-core. Admittedly, I added the  comment just by looking at surrounding code, without looking deeper into how that works. Hopefully it just makes sense here too. (I'm guessing this is some sort of macro that is pre-processed? I'm intrigued!). Oh, and of course this PR depends on a new release of pydantic-core 馃檪",0
"It is generated from the code, the current description is ""Initialize the datasource with available DDL and DML scripts."" I agree that this can be improved and we can do that as part of a separate issue. Type of datasource can be misleading IMO.",-1
is correct here. I'm afraid this will have to wait for a proper strict mode.,0
"SUMMARY The sample value given for the 'mode' parameter is shown without quotes, but the data type is string. If you actually try to use an unquoted numeric string for this value (and don't use leading-0 octal notation...) you're in for a nasty surprise! I added quotation marks to the sample value. ISSUE TYPE  Docs Pull Request  +label: docsite_pr SUMMARY <!--- Describe the change below, including rationale and design decisions -- <!--- HINT: Include ""Fixes #nnn"" if you are fixing an existing issue -- ISSUE TYPE <!--- Pick one below and delete the rest --- Bugfix Pull Request - Docs Pull Request - Feature Pull Request - Test Pull Request COMPONENT NAME <!--- Write the short name of the module, plugin, task or feature below -- ADDITIONAL INFORMATION <!--- Include additional information to help people understand the change here --<!--- A step-by-step reproduction of the problem is helpful if there is no related issue -- <!--- Paste verbatim command output below, e.g. before and after your change --",-1
"Maybe my PR is not accurate and need to be improved. I allow edits from maintainers.  I'm trying to improve docs for users without familiarity with Spring Security. Consider the next use case. ""A very busy developer""鈩?want to set up monitoring with Prometheus for a Spring Boot 2.1 app. They know:  Spring Boot app authorize with form-based auth (because it works in the browser) Prometheus cannot use form-based auth but can use HTTP Basic auth.  They search for more info in Spring Boot docs and finds: What this?!! What HTTP Content-Type header do they need to pass to enable Basic Auth. Current documentation is really confusing! In my case, I drilling into debug session, spend 1 hour and send this PR to help future users of Spring Boot 2.1  endpoint.",-1
"sorry, the pull request was #1546, not 1526.",0
"Sorry, just noticed that #37253 was opened first, so closing in favour of that one",0
"I guess I tend to be pretty conservative about what to call a bug if it is going in a bugfix release. Basically the question is whether it is credible that some user out there is taking advantage of this existing behavior and their code will break after installing a bugfix release. I take that contract very seriously. It seems very unlikely that anyone is using that, but it is tough to prove otherwise. Usually to me for an API change like this to get put into a bug fix, I would say it is OK if the original behavior was so wrong that nobody could be relying on that behavior. Here that is not unambiguously the case, but I agree it is in the grey zone.",0
"<!-- First of all, thank you for your contribution! 馃槃 For requesting to pull a new feature or bugfix, please send it from a feature/bugfix branch based on the  branch. Before submitting your pull request, please make sure the checklist below is confirmed. Your pull requests will be merged after one of the collaborators approve. Thank you! -- [涓枃鐗堟ā鏉?/ Chinese template] 馃 This is a ...  [ ] New feature [ ] Bug fix [ ] Site / documentation update [ ] Demo update [ ] Component style update [ ] TypeScript definition update [ ] Bundle size optimization [ ] Performance optimization [ ] Enhancement feature [ ] Internationalization [x] Refactoring [ ] Code style optimization [ ] Test Case [ ] Branch merge [ ] Other (about what?)  馃敆 Related issue link <!-- 1. Put the related issue or discussion links here. -- 馃挕 Background and solution <!-- 1. Describe the problem and the scenario. 2. GIF or snapshot should be provided if includes UI/interactive modification. 3. How to fix the problem, and list the final API implementation and usage sample if that is a new feature. -- 馃摑 Changelog <!-- Describe changes from the user side, and list all potential break changes or other risks.  | Language   | Changelog | | ---------- | --------- | | 馃嚭馃嚫 English | refactor: CC =| 馃嚚馃嚦 Chinese | refactor: CC = 鈽戯笍 Self-Check before Merge 鈿狅笍 Please check all items below before requesting a reviewing. 鈿狅笍  [x] Doc is updated/provided or not needed [x] Demo is updated/provided or not needed [x] TypeScript definition is updated/provided or not needed [x] Changelog is provided or not needed",0
Thank you for this feedback! That is a really interesting insight. You may be right! We will certainly consider it.,1
"The build after merge failed  because QueueDAO interface has a new method setOffsetTime(), you will have to implement that in your MySQLQueueDAO class.",0
"Thanks for your feedback,  and ! Now all identified issues should be fixed.  TODO: Add support for multicite commands. TODO: Expand integration test.",1
Thanks for the PR but we have a semi-automated process to upgrade dependencies so we don't accept such PRs for that reason.,0
"You can also send your test stream to . It's somewhat hard to tell whether the issue is with the media itself, or with ExoPlayer (and if so, where), without being able to take a look. I'm pretty sure we have some SCTE-35 test streams internally that work correctly with the current implementation.",0
Companion 3.0.0 PR: #7963,0
"What are ""Active headings"" ?",0
Could you write a short personal email so that I have your contact data?,0
gh isn't showing me the line you are trying to mention. Could you please elaborate? Thanks!,0
"Sorry about that, i did not realise that i was pushing over here.",0
"Hi, I forgot about this sometime during having covid. Thanks for reminding me about this. I have a few questions: Assumptions (please correct me if I'm wrong): * A response can either be a native Pydantic model object(), OR a , OR a manual  type. * We have no control over a manual  type. * I'm assuming that  responses will want to be validated and turned into a  before serialised by default. There is cases where the user wants to say ""trust me"" and turn off validation, and we should allow this with a global setting. Questions: * Can we assume that a native  is already validated? (You have to jump through serious loops to build an unvalidated , and if you do that, one can argue that it's your perogative to ensure that things are correct). If so, can we safely skip the validation on 's by default? * Why did you replace the JSON encoder with your own one, instead of using the provided one from Pydantic:  ? It already seems to handle all the common data type conversions correctly? Based on quick tests, it appears to be faster too. Depending on the answer you provide, I can complete this PR. It would be lovely to have a faster response type for the cleaner code by default. Right now returning a  (which is the cleanest in code) will result in the slowest response type. 's are slightly faster, and  is the fastest. I would like making  perform better by default, skip validation and re-building of , so we can just go to serialisation directly? I would like to make the default  use the provided  if available so we can honour custom encoders on it. I would like to make the  allow skipping the datatype conversion by default, as it seems to handle all the common cases as well. BUT, I would like to limit breakage. So what would be safe behaviour be for  and  response types?",0
thank you for making your first contribution to Spring Boot. I've merged your contribution with a polish commit. I've also updated  as discussed in this issue in a separate commit.,1
"There was never any followup from the platform team about this issue, so I think it remains the case that it's not possible to robustly track battery state at the application layer, unfortunately.",-1
See discussion in #3301,0
"This is the branch to reproduce #8674, not an pull request intended for merging. As such closing it to avoid confusion. I believe the branch can still be checkout if the pull request is closed.",0
"Thanks for feedback .  sorry for the delay, comments have been applied.",0
Also enables the object-concise-method transform for --harmony closes #1438 Tested with  (with this on clipboard):,0
": Sorry, I don't have too much justification for the errors changes, I adapted kvaster's patch from #676 and fixed the tests.  I'm not entirely sure what that fix does.",0
Was the bridge package created?,0
"Thanks for the example! I'd prefer to keep the existing example as-is, mostly because I want the example to be as simple as possible (to use as a starting point). This would make a good example for the wiki. Though, I'd prefer if you implemented a center constraint (脿 la Polymaps) rather than the stricter visible-area constraint. If you zoom all the way out in your implementation, and then zoom in on a point in Antarctica (for example), then you get temporarily weird zooming due some zoom levels being constrained, but other zoom levels not being constrained. The center constraint has the nice property that it the map's currently-visible center is valid at any zoom level, so it never swims while zooming. If you want to reopen this with a new example file, say, mercator-zoom-constrained.html, and implement the center constraint鈥?then I would be happy to pull this in!",1
"Thanks for your contribution. I'm trying to verify these changes locally by running , and have been running into issues launching the UI from local. Here's my error stack trace: Also, here's my gulp details after running : Let me know if I'm missing something.",0
it's been a while since this PR was opened and I'd like to understand how relevant it is. Can you please update us with the current sate of affair?,0
Hi there! Thank you for your advice. I close my pull request.,1
FYI,0
This is a comment that describes the purpose of a class.   [ ] Change in CHANGELOG.md described [ ] Tests created for changes [ ] Manually tested changed features in running JabRef [ ] Screenshots added in PR description (for bigger UI changes) [ ] Ensured that the git commit message is a good one [ ] Check documentation status (Issue created for outdated help page at help.jabref.org?),0
"I think we're currently stuck with it not really being possible to robustly track battery state at the application layer. I have an internal bug open about that, but no progress so far [Internal ref: b/156962128].",-1
I'm thinking what about a followup PR that has that checklist at the top of the reviewers guidelines? Also thanks for all your help!,1
Just a friendly bump because I want to know if anyone has seen this PR.,0
"We should also check that all our locators actually adhere to this before documenting it! I've been having a play around with  to test this, and have found that for  with , the smallest tick returned is  which is not ...",0
"Thanks  for this patch :+1:  We are working on Pydantic V2 and the plan is to don't accept the new features on . So, I think you need to wait for V2. what do you think Sorry for that!",1
it looks like the tests fail? Did I do something wrong here?,-1
Please review,0
"Awesome, it looks good. However, I just noticed you were trying to merge this into 1.12; We're actively working on 2.0 right now, and this should go to  branch. Would you mind changing it to  branch please. Let me know if you need any help in doing that.",1
"<!-- Please make sure to read the Pull Request Guidelines: -- <!-- PULL REQUEST TEMPLATE --<!-- (Update ""[ ]"" to ""[x]"" to check a box) -- What kind of change does this PR introduce? (check at least one)  [ ] Bugfix [ ] Feature [ ] Code style update [x] Refactor [ ] Build-related changes [ ] Other, please describe:  Does this PR introduce a breaking change? (check one)  [ ] Yes [x] No  If yes, please describe the impact and migration path for existing applications: The PR fulfills these requirements:  [x] It's submitted to the  branch for v2.x (or to a previous version branch), not the  branch [ ] When resolving a specific issue, it's referenced in the PR's title (e.g. , where ""xxx"" is the issue number) [ ] All tests are passing:  [ ] New/updated tests are included  If adding a new feature, the PR's description includes: - [ ] A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it) Other information:",0
Thanks! I'll work on getting this merged.,1
Apparently they have a test for this exact thing.,0
LGTM! :+1:,1
"Sigh. I have a working implementation, but I'm unhappy with the large code burden it adds.",-1
Kinda forgot about this. I'll try making the requested fixes asap and resubmit for review.,0
I'm very sorry. Should be fixed by now,-1
"Hello, This bug fixes #2666, a html file reproducing the bug within it's context can be found here  Since it's only one line I don't think a test is required but I'll explain why the bug occurs and why the PR fixes this. As stated here, the compilation is cached so for all components except the first one the attributes are not removed. Users might want to use the ':is' version. In this case it's not removed from the DOM and visible. This PR fixes the bug in my codebase. Thank you !",1
lgtm,1
"This relies on a globally-installed copy of Vows, rather than using the version of Vows that is required by D3. This is undesirable because it means the user will have to install Vows manually (as ) rather than the standard method using package.json (). Also, this approach won't work if the user鈥檚 globally-installed version of Vows is different from the one D3 depends on. I'm not familiar with Cygwin, but I'm afraid you'll need to solve this error a different way.",-1
:+1: :cake:,1
Looks good to me. Thanks.,1
"Actually I did not. Now I did. The facts make sense in my particular context. Thanks for pointing me to that discussion! I actually tried to migrate some code from an HystrixCommand to an asynchronous callback like code. Therefore, as mentioned, the observable is already matched on a pool.",1
"Sorry, the previous set of commits were a WIP and I ran out of steam before getting d3.xml and d3.text working. Should have left a message about that. On the other hand your comments were very helpful for coming up with an approach. All unit tests are passing now and I think the method overloading should be working properly as well.",1
See #5208,0
I am not fixing the streaming tests as streaming support is already being phased out and will eventually be unsupported iirc. The stream fails occur often anyways because of server errors. Note that this PR  will hopefully fix the intermittent server errors that are one reason streaming tests fail sometimes. does this sound correct to you?,0
"There is no formalized design for it. However, currently the compiler will preserve two types of comments: detached, pinned (the triple-slash is a bug). I think it is desirable to keep copy right comment even in emitted js. I make an issue #3878 for discussing design for removing comment in general.",0
"Thanks . Looks like there is a bug here (either in my test or in the code.) The issue is that  returns a time in localtime which I wasn't accounting for in my test. There are 2 ways to solve this problem: 1. Modify  to subtract  so that the resulting value represents UTC time. This will result in the value of  being the same on all systems regardless of timezone. 2. Modify  to subtract  so that the test always passes. The former solution seems correct to me, and I can't find anything in the code or RFCs to contradict this. Unfortunately this change would definitely impact users of this module so I'd like to hear others opinions on this. Thanks!",0
"Strange, <T",-1
TEST,0
"Thanks, , for the PR! This is now merged into  via 51b9b2f693ec48127f2cc8554aa3edbc58fccc92. Note that I polished the commit message just a bit, though it will still show you as the contributor. I added a small polish via 653400edfabf52760bdda3c30c8b51283b256b15.",1
", thanks for your patience. I put together a pretty simple test to measure performance differences with this code change. I tested just the method  with 100,000,000 iterations, and ran the test a number of times before and after the code change. The request that was saved included 4 headers, 4 cookies, 4 preferred locales and 4 parameters, causing the constructor to do some work on each iteration. There were no discernible differences with the default configuration for . However, with : Before code change:  Average ~1,464 nanoseconds per   After code change:  Average ~114 nanoseconds per   So we save about 1.35 microseconds per request. This is pretty small, but proves that the performance impact is non-negligible. It's worth noting that most applications would use the  in the stateless scenario ( or even ), so I'm not sure many applications will benefit from this. Still, this is another way to configure the application to avoid session creation when desired and may improve performance in that case.",0
"Sorry about that! Yes, I think we should keep this PR for the remaining changes.",1
"All right, I am closing this PR for now. Thanks for the investigation nonetheless! Now when we have similar feature requests, we can point to this discussion and explain why we are not going to adopt such a feature for the time being :smile:",1
These changes look good to me.,1
I have finished adding Unit tests and Javadoc. The only thing I noticed/changed is how the HystrixPlugin is loaded as a singleton eagerly. I prefer lazy loading so you don't accidentally kick off loading by just importing . There is a slight chance this could affect backward compatibility and or performance (but this is very dubious). This may have been even done on purpose. Perhaps  would know? Let me know if and when you want me to squash the commits.,0
No problem! Do I need to fix something so that it auto-merges? The tests seem like they flaked out...,0
"is confusingly named and never used.  This PR gets rid of it. The deprecated numpy API that causes zillions of warnings includes , so this replaces the old usage with the encouraged usage. A bunch of  isn't actually used in tslibs.util, so the relevant functions are moved up to . Docstrings for most of what's left in tslibs.util. Simplify util._checknull by removing an unnecessary try/except.",-1
"replaces #1497, originally intended to fix the issue you already fixed in b57cdf2",0
"Please check if the PR fulfills these requirements - [x] The commit message follows our guidelines:  - [x] Tests for the changes have been added (for bug fixes / features) - [ ] Docs have been added / updated (for bug fixes / features) What kind of change does this PR introduce? (check one with ""x"") What is the current behavior? (You can also link to an open issue here) 9613 What is the new behavior? On the first received value from an observable, decide to continue or cancel (de)activation. Waiting for completion is not required. Does this PR introduce a breaking change? (check one with ""x"") If this PR contains a breaking change, please describe the impact and migration path for existing applications: ... Other information: I believe this isn't a breaking change, even though the behavior is changed (accepting more than one value in the stream), because this wasn't properly documented. Also, I think is much more convenient to not require the observable to complete.",0
"I don't know that  would really apply here though because there are more complex expressions with  blocks, etc.",0
"FYI, there appears to be a suitable test stream in , which also crashes (native crash in the MP3 decoder) using this patch. I suspect the codec configuration data is being parsed incorrectly from the stream, although I didn't check.",0
I think you might need to rebase onto master and repush (--force) because there are conflicts with the message codes stuff now. Sorry.,0
close #4787,0
"<!-- Thank you for submitting a pull request! Please verify that: * [ ] There is an associated issue in the  milestone (required) * [ ] Code is up-to-date with the  branch * [ ] You've successfully run  locally * [ ] There are new or updated unit tests validating the change Refer to CONTRIBUTING.MD for more details. ** Please don't send typo fixes! ** Please don't send a PR solely for the purpose of fixing a typo, unless that typo truly hurts understanding of the text. Each PR represents work for the maintainers, and that work should provide commensurate value. If you're interested in sending a PR, the issue tracker has many issues marked . Fixes #53290. I think The original fix for #52543 isn't in the correct order. In TypeScript 5.0 it became  instead of ;",0
Closing in favor of #14793,0
I consent.,0
"Unfortunately, I think it is. Trivial changes are really just one-liners, typo corrections, etc",-1
Thanks.  The .gif file is still not getting installed.  You need to add a line for  to the  list in .,0
"did you get a chance to follow up on the issue? If not, I can take a look in the next 24hrs.",0
"Hi  Thanks. Sorry my bad this was my first commit in code previously in docs, was on it but you were too quick. Noted henceforth will make sure to do the build. Thanks once again for the opportunity.",1
I think that another valid argument is that  just must create different  and delegate the configuration on each of used tools (e.g.  or  ).,0
"Unfortunately, you will no longer be notified if the tokens expire. Sorry for the delay. BTW: It was not possible to renew the WebXR Gamepad Support token. Seems this trial is over.",-1
I did try to restore the anchors with two values (using this SO answer but that didn't really work as expected. Given the link is broken for quite some time anyway I went ahead and remove the outdated duplicate. Thanks for the PR!,0
"Sorry for the delay, I spent a lot of time in  and finally all of the errors and requirements has fulfilled,   , Please feel free to review.",1
"Yes but the problem is that you're not providing a path in your configuration, you are providing a placeholder that's going to be replaced with the database that you are using. If you are using two databases and one of them does not need specific scripts, the startup will fail because the directory does not exist. It means that the use case of this feature is quite narrowed IMO: all the databases that you support must require database specific scripts. Does that make sense?",0
"Thanks, ! This has been merged into  in a5351f3d890b888857bb60171a9846c331a6aabe. I standardized the commit format and then also merge it into .",0
"it'd be awesome if it's possible to have the best of both worlds :-). I tried with conda envs and specific versions of Python, and this branch: py3.6, tab completion works well with , but with py3.8, it does not work. Is it a linux thing then? To be continued...",1
please review,0
"I believe the bug in the CI was not caused by changes in this PR. This PR fixed a simple but real bug. I managed to fix it in another way for my client, so I only did this PR if it can improve pandas, especially in those edges cases that can be really annoying.  I added a test, a whatsnew entry and answered your comments.  Could you please manage to merge it ?  Otherwise keep it close, it's too much an investment for such a minor improvment.",0
"PR Summary Adds the Gadfly plot theme that I wrote a blog post about a couple of years ago PR Checklist <!-- Please mark any checkboxes that do not apply to this PR as [N/A]. -- - [ ] Has pytest style unit tests (and  passes). N/A - [ ] Is Flake 8 compliant (run  on changed files to check). N/A - [ ] New features are documented, with examples if plot related. N/A - [ ] Documentation is sphinx and numpydoc compliant (the docs should [build] () without error). N/A - [ ] Conforms to Matplotlib style conventions (install  and run ). N/A - [x] New features have an entry in  (follow instructions in README.rst there). - [ ] API changes documented in  (follow instructions in README.rst there). N/A <!-- Thank you so much for your PR!  To help us review your contribution, please consider the following points:   A development guide is available at .   Help with git and github is available at   .   Do not create the PR out of master, but out of a separate branch.   The PR title should summarize the changes, for example ""Raise ValueError on   non-numeric input to set_xlim"".  Avoid non-descriptive titles such as   ""Addresses issue #8576"".   The summary should provide at least 1-2 sentences describing the pull request   in detail (Why is this change required?  What problem does it solve?) and   link to any relevant issues.   If you are contributing fixes to docstrings, please pay attention to   .  In particular,   note the difference between using single backquotes, double backquotes, and   asterisks in the markup.   We understand that PRs can sometimes be overwhelming, especially as the reviews start coming in.  Please let us know if the reviews are unclear or the recommended next step seems overly demanding, if you would like help in addressing a reviewer's comments, or if you have been waiting too long to hear back on your PR. --",0
"Not necessarily, it might be an event with different state : success or failure. Yes it's not out of question (my suggestion on the factory methods indeed lean in that direction). But at this moment, I fear we are over-engineering this.  and  are the primary users of this, could you show us some concrete code snippets outside (not tests) how you want the listener to be registered or how the code you're working with can/should process the verifications. Basically the design question is wether we want this : Or",0
462,0
There is an experimental module in JUnit5 that we haven't added at all in our dependency management so if we want to be consistent we should either reject this or add the one of Junit5,0
I was wrong in my previous comment. Sorry for bothering you.,-1
Cancel my last. Fixed by changing to,0
Backport PR #14057: Improve Gradient bar example,0
